"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CKTCEUS","197804","96.532","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197805","104.554","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197806","109.534","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197807","116.974","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197808","120.506","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197809","114.29","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197810","110.794","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197811","110.794","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197812","120.669","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197813","1298.235","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197901","126.529","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197902","112.561","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197903","113.582","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197904","107.249","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197905","112.831","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197906","116.507","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197907","125.123","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197908","125.895","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197909","112.686","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197910","115.294","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197911","115.389","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197912","126.336","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197913","1409.981","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198001","130.747","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198002","122.423","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198003","120.582","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198004","107.926","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198005","108.141","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198006","114.429","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198007","128.194","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198008","127.588","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198009","116.567","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198010","113.544","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
