           year        tco2               alk        d13Cocn        pCO2           d13Catm         CO3           WeatC          WeatS         TotW           BurC            Degas            Tatm           Tocn
    20000.00000        2.58635        2.28909       -0.51725      307.73060       -7.52899      235.51445        8.75780        7.82945       16.58724       16.37861        7.50000       15.40911        5.41753
    20500.00000        2.58650        2.28907       -0.51587      307.46368       -7.52752      235.64158        8.75509        7.82703       16.58211       16.41040        7.50000       15.40533        5.41325
    21000.00000        2.58663        2.28903       -0.51448      307.21218       -7.52605      235.75841        8.75254        7.82474       16.57728       16.43960        7.50000       15.40177        5.40922
    21500.00000        2.58673        2.28898       -0.51310      306.97490       -7.52459      235.86572        8.75013        7.82259       16.57272       16.46643        7.50000       15.39841        5.40542
    22000.00000        2.58681        2.28892       -0.51171      306.75075       -7.52313      235.96424        8.74785        7.82056       16.56841       16.49106        7.50000       15.39523        5.40185
    22500.00000        2.58686        2.28884       -0.51033      306.53870       -7.52167      236.05464        8.74570        7.81863       16.56433       16.51366        7.50000       15.39222        5.39847
    23000.00000        2.58689        2.28875       -0.50895      306.33783       -7.52022      236.13755        8.74366        7.81681       16.56046       16.53439        7.50000       15.38937        5.39528
    23500.00000        2.58690        2.28865       -0.50756      306.14726       -7.51878      236.21352        8.74172        7.81507       16.55679       16.55338        7.50000       15.38666        5.39226
    24000.00000        2.58689        2.28854       -0.50618      305.96622       -7.51734      236.28311        8.73988        7.81343       16.55331       16.57078        7.50000       15.38409        5.38940
    24500.00000        2.58687        2.28842       -0.50480      305.79397       -7.51590      236.34679        8.73813        7.81186       16.54999       16.58670        7.50000       15.38164        5.38668
    25000.00000        2.58683        2.28830       -0.50343      305.62984       -7.51447      236.40502        8.73646        7.81037       16.54683       16.60126        7.50000       15.37930        5.38410
    30000.00000        2.58583        2.28671       -0.48977      304.31990       -7.50039      236.76551        8.72312        7.79845       16.52157       16.69138        7.50000       15.36064        5.36379
    35000.00000        2.58418        2.28479       -0.47640      303.37070       -7.48672      236.88785        8.71345        7.78980       16.50324       16.72196        7.50000       15.34709        5.34948
    40000.00000        2.58226        2.28275       -0.46336      302.59082       -7.47344      236.90378        8.70549        7.78269       16.48818       16.72595        7.50000       15.33593        5.33796
    45000.00000        2.58025        2.28068       -0.45065      301.89453       -7.46052      236.87264        8.69838        7.77633       16.47471       16.71816        7.50000       15.32595        5.32780
    50000.00000        2.57822        2.27861       -0.43827      301.24328       -7.44796      236.82110        8.69172        7.77038       16.46210       16.70528        7.50000       15.31660        5.31835
    55000.00000        2.57620        2.27658       -0.42624      300.61960       -7.43574      236.76116        8.68534        7.76467       16.45001       16.69029        7.50000       15.30762        5.30931
    60000.00000        2.57422        2.27458       -0.41452      300.01548       -7.42385      236.69819        8.67915        7.75913       16.43828       16.67455        7.50000       15.29892        5.30056
    65000.00000        2.57227        2.27262       -0.40313      299.42718       -7.41228      236.63459        8.67311        7.75374       16.42685       16.65865        7.50000       15.29042        5.29202
    70000.00000        2.57035        2.27069       -0.39205      298.85286       -7.40103      236.57142        8.66721        7.74846       16.41567       16.64286        7.50000       15.28211        5.28368
    75000.00000        2.56848        2.26881       -0.38127      298.29154       -7.39008      236.50917        8.66143        7.74330       16.40473       16.62729        7.50000       15.27397        5.27551
    80000.00000        2.56665        2.26697       -0.37078      297.74264       -7.37943      236.44801        8.65578        7.73824       16.39402       16.61200        7.50000       15.26600        5.26750
    85000.00000        2.56485        2.26516       -0.36058      297.20574       -7.36907      236.38802        8.65024        7.73329       16.38353       16.59701        7.50000       15.25818        5.25966
    90000.00000        2.56309        2.26339       -0.35066      296.68052       -7.35899      236.32923        8.64481        7.72844       16.37325       16.58231        7.50000       15.25053        5.25197
