year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
    13500.00000        2.72718        2.44485       -1.28627      382.27931       -8.31652      230.15939        9.45629        8.45389       17.91018       15.03985        7.50000       16.34992        6.40165
    14000.00000        2.72945        2.44586       -1.28331      380.31293       -8.31316      231.10141        9.43902        8.43846       17.87747       15.27535        7.50000       16.32744        6.37550
    14500.00000        2.73150        2.44675       -1.28032      378.49196       -8.30979      231.97247        9.42297        8.42411       17.84708       15.49312        7.50000       16.30652        6.35120
    15000.00000        2.73335        2.44753       -1.27730      376.80394       -8.30641      232.77763        9.40805        8.41077       17.81882       15.69441        7.50000       16.28704        6.32859
    15500.00000        2.73503        2.44821       -1.27425      375.23756       -8.30302      233.52163        9.39417        8.39836       17.79253       15.88041        7.50000       16.26888        6.30756
    16000.00000        2.73653        2.44879       -1.27118      373.78255       -8.29964      234.20889        9.38124        8.38680       17.76804       16.05222        7.50000       16.25195        6.28798
    16500.00000        2.73787        2.44929       -1.26809      372.42957       -8.29625      234.84352        9.36918        8.37603       17.74521       16.21088        7.50000       16.23614        6.26973
    17000.00000        2.73908        2.44970       -1.26498      371.17014       -8.29286      235.42936        9.35794        8.36597       17.72391       16.35734        7.50000       16.22138        6.25271
    17500.00000        2.74014        2.45004       -1.26186      369.99651       -8.28948      235.96998        9.34744        8.35658       17.70402       16.49249        7.50000       16.20758        6.23683
    18000.00000        2.74109        2.45030       -1.25873      368.90163       -8.28610      236.46870        9.33762        8.34781       17.68543       16.61717        7.50000       16.19467        6.22200
    18500.00000        2.74191        2.45051       -1.25558      367.87906       -8.28272      236.92861        9.32843        8.33960       17.66803       16.73215        7.50000       16.18258        6.20814
    19000.00000        2.74264        2.45066       -1.25243      366.92292       -8.27935      237.35257        9.31983        8.33190       17.65173       16.83814        7.50000       16.17124        6.19517
    19500.00000        2.74326        2.45075       -1.24927      366.02783       -8.27598      237.74326        9.31176        8.32469       17.63646       16.93582        7.50000       16.16061        6.18302
    20000.00000        2.74380        2.45079       -1.24610      365.18888       -8.27262      238.10314        9.30419        8.31792       17.62211       17.02579        7.50000       16.15061        6.17163
    20500.00000        2.74425        2.45079       -1.24293      364.40157       -8.26927      238.43451        9.29708        8.31156       17.60864       17.10863        7.50000       16.14122        6.16095
    21000.00000        2.74463        2.45074       -1.23975      363.66178       -8.26592      238.73949        9.29038        8.30558       17.59596       17.18487        7.50000       16.13237        6.15091
    21500.00000        2.74493        2.45065       -1.23658      362.96573       -8.26258      239.02007        9.28407        8.29994       17.58401       17.25502        7.50000       16.12403        6.14147
    22000.00000        2.74517        2.45053       -1.23340      362.30996       -8.25924      239.27806        9.27812        8.29462       17.57274       17.31952        7.50000       16.11616        6.13259
    22500.00000        2.74535        2.45038       -1.23022      361.69129       -8.25592      239.51517        9.27251        8.28960       17.56210       17.37879        7.50000       16.10872        6.12421
    23000.00000        2.74547        2.45019       -1.22703      361.10680       -8.25260      239.73295        9.26719        8.28485       17.55204       17.43324        7.50000       16.10168        6.11631
    23500.00000        2.74554        2.44998       -1.22385      360.55382       -8.24929      239.93288        9.26216        8.28035       17.54251       17.48322        7.50000       16.09501        6.10884
    24000.00000        2.74557        2.44974       -1.22068      360.02989       -8.24599      240.11629        9.25739        8.27608       17.53347       17.52907        7.50000       16.08868        6.10178
    24500.00000        2.74555        2.44948       -1.21750      359.53274       -8.24269      240.28443        9.25286        8.27203       17.52489       17.57111        7.50000       16.08267        6.09509
    25000.00000        2.74549        2.44919       -1.21432      359.06031       -8.23940      240.43846        9.24855        8.26818       17.51673       17.60961        7.50000       16.07695        6.08874
    30000.00000        2.74325        2.44546       -1.18278      355.34158       -8.20698      241.40214        9.21453        8.23776       17.45229       17.85054        7.50000       16.03171        6.03930
    35000.00000        2.73931        2.44082       -1.15179      352.71289       -8.17537      241.74332        9.19036        8.21616       17.40652       17.93583        7.50000       15.99949        6.00514
    40000.00000        2.73464        2.43584       -1.12148      350.59292       -8.14457      241.80411        9.17081        8.19868       17.36949       17.95103        7.50000       15.97335        5.97810
    45000.00000        2.72971        2.43075       -1.09190      348.72224       -8.11454      241.73983        9.15350        8.18320       17.33670       17.93496        7.50000       15.95018        5.95447
    50000.00000        2.72471        2.42568       -1.06304      346.98418       -8.08528      241.62079        9.13737        8.16878       17.30615       17.90520        7.50000       15.92854        5.93259
    55000.00000        2.71974        2.42067       -1.03491      345.32588       -8.05677      241.47873        9.12193        8.15498       17.27691       17.86968        7.50000       15.90780        5.91170
    60000.00000        2.71484        2.41574       -1.00750      343.72314       -8.02897      241.32800        9.10696        8.14160       17.24855       17.83200        7.50000       15.88766        5.89146
    65000.00000        2.71002        2.41090       -0.98078      342.16458       -8.00189      241.17502        9.09235        8.12854       17.22090       17.79376        7.50000       15.86799        5.87170
    70000.00000        2.70529        2.40616       -0.95475      340.64467       -7.97550      241.02268        9.07807        8.11577       17.19384       17.75567        7.50000       15.84871        5.85235
    75000.00000        2.70066        2.40151       -0.92940      339.15714       -7.94978      240.87364        9.06405        8.10324       17.16729       17.71841        7.50000       15.82977        5.83334
    80000.00000        2.69611        2.39695       -0.90469      337.70814       -7.92472      240.72487        9.05035        8.09099       17.14135       17.68122        7.50000       15.81123        5.81474
    85000.00000        2.69166        2.39248       -0.88062      336.29123       -7.90030      240.57921        9.03692        8.07898       17.11591       17.64480        7.50000       15.79303        5.79647
    90000.00000        2.68730        2.38811       -0.85717      334.90584       -7.87651      240.43648        9.02375        8.06721       17.09096       17.60912        7.50000       15.77516        5.77854
    95000.00000        2.68302        2.38382       -0.83433      333.55130       -7.85334      240.29658        9.01084        8.05567       17.06650       17.57414        7.50000       15.75762        5.76093
   100000.00000        2.67884        2.37962       -0.81208      332.22694       -7.83076      240.15944        8.99818        8.04435       17.04253       17.53986        7.50000       15.74040        5.74365
   150000.00000        2.64138        2.34203       -0.61913      320.49863       -7.63476      238.92830        8.88455        7.94276       16.82731       17.23207        7.50000       15.58482        5.58751
   200000.00000        2.61092        2.31144       -0.47134      311.11900       -7.48437      237.92117        8.79163        7.85969       16.65132       16.98029        7.50000       15.45624        5.45846
   250000.00000        2.58617        2.28658       -0.35848      303.60508       -7.36930      237.09920        8.71581        7.79191       16.50773       16.77480        7.50000       15.35040        5.35223
   300000.00000        2.56609        2.26641       -0.27249      297.57701       -7.28145      236.42963        8.65407        7.73671       16.39078       16.60741        7.50000       15.26359        5.26508
   350000.00000        2.54981        2.25005       -0.20708      292.73495       -7.21447      235.88502        8.60386        7.69182       16.29568       16.47126        7.50000       15.19257        5.19379
   400000.00000        2.53662        2.23678       -0.15738      288.84147       -7.16348      235.44262        8.56307        7.65536       16.21843       16.36066        7.50000       15.13461        5.13560
   450000.00000        2.52594        2.22604       -0.11966      285.70800       -7.12466      235.08361        8.52998        7.62578       16.15575       16.27090        7.50000       15.08739        5.08820
   500000.00000        2.51729        2.21735       -0.09103      283.18433       -7.09513      234.79251        8.50314        7.60179       16.10493       16.19813        7.50000       15.04898        5.04964
   550000.00000        2.51029        2.21031       -0.06931      281.15057       -7.07266      234.55662        8.48140        7.58235       16.06375       16.13916        7.50000       15.01778        5.01831
   600000.00000        2.50463        2.20461       -0.05282      279.51078       -7.05556      234.36558        8.46379        7.56661       16.03040       16.09140        7.50000       14.99245        4.99289
   650000.00000        2.50005        2.20001       -0.04030      278.18813       -7.04254      234.21093        8.44954        7.55387       16.00341       16.05273        7.50000       14.97192        4.97227
   700000.00000        2.49635        2.19628       -0.03078      277.12090       -7.03261      234.08578        8.43801        7.54355       15.98156       16.02145        7.50000       14.95528        4.95557
   750000.00000        2.49335        2.19327       -0.02354      276.25955       -7.02503      233.98454        8.42867        7.53521       15.96389       15.99613        7.50000       14.94180        4.94204
   800000.00000        2.49093        2.19084       -0.01804      275.56420       -7.01924      233.90264        8.42113        7.52847       15.94959       15.97566        7.50000       14.93089        4.93108
   850000.00000        2.48897        2.18887       -0.01384      275.00276       -7.01482      233.83642        8.41502        7.52301       15.93803       15.95911        7.50000       14.92207        4.92222
   900000.00000        2.48739        2.18728       -0.01063      274.54938       -7.01143      233.78288        8.41009        7.51860       15.92869       15.94572        7.50000       14.91492        4.91505
   950000.00000        2.48611        2.18599       -0.00818      274.18321       -7.00883      233.73959        8.40610        7.51503       15.92113       15.93490        7.50000       14.90915        4.90924
  1000000.00000        2.48508        2.18495       -0.00631      273.88745       -7.00683      233.70459        8.40287        7.51215       15.91502       15.92615        7.50000       14.90447        4.90455
  1050000.00000        2.48425        2.18411       -0.00487      273.64854       -7.00530      233.67631        8.40027        7.50982       15.91009       15.91908        7.50000       14.90070        4.90076
  1100000.00000        2.48357        2.18343       -0.00377      273.45554       -7.00412      233.65345        8.39816        7.50793       15.90610       15.91336        7.50000       14.89764        4.89769
  1150000.00000        2.48303        2.18288       -0.00292      273.29962       -7.00320      233.63497        8.39646        7.50641       15.90287       15.90874        7.50000       14.89517        4.89521
  1200000.00000        2.48259        2.18244       -0.00227      273.17366       -7.00250      233.62003        8.39508        7.50518       15.90026       15.90501        7.50000       14.89318        4.89321
  1250000.00000        2.48223        2.18208       -0.00176      273.07188       -7.00195      233.60796        8.39397        7.50419       15.89816       15.90199        7.50000       14.89156        4.89159
  1300000.00000        2.48194        2.18179       -0.00137      272.98966       -7.00152      233.59821        8.39307        7.50338       15.89645       15.89955        7.50000       14.89026        4.89028
  1350000.00000        2.48171        2.18156       -0.00107      272.92322       -7.00119      233.59033        8.39234        7.50273       15.89508       15.89758        7.50000       14.88921        4.88922
  1400000.00000        2.48152        2.18137       -0.00084      272.86954       -7.00094      233.58396        8.39176        7.50221       15.89397       15.89599        7.50000       14.88835        4.88837
  1450000.00000        2.48137        2.18122       -0.00066      272.82617       -7.00074      233.57881        8.39128        7.50179       15.89307       15.89470        7.50000       14.88767        4.88768
  1500000.00000        2.48125        2.18109       -0.00052      272.79112       -7.00058      233.57465        8.39090        7.50144       15.89234       15.89366        7.50000       14.88711        4.88712
  1550000.00000        2.48115        2.18099       -0.00041      272.76280       -7.00046      233.57129        8.39059        7.50117       15.89176       15.89282        7.50000       14.88666        4.88667
  1600000.00000        2.48107        2.18091       -0.00032      272.73992       -7.00036      233.56858        8.39034        7.50094       15.89128       15.89214        7.50000       14.88630        4.88630
  1650000.00000        2.48100        2.18085       -0.00025      272.72144       -7.00029      233.56638        8.39014        7.50076       15.89090       15.89160        7.50000       14.88600        4.88601
  1700000.00000        2.48095        2.18079       -0.00020      272.70650       -7.00023      233.56461        8.38997        7.50062       15.89059       15.89115        7.50000       14.88577        4.88577
  1750000.00000        2.48091        2.18075       -0.00016      272.69442       -7.00018      233.56318        8.38984        7.50050       15.89034       15.89079        7.50000       14.88558        4.88558
  1800000.00000        2.48087        2.18072       -0.00012      272.68467       -7.00014      233.56202        8.38974        7.50040       15.89014       15.89050        7.50000       14.88542        4.88542
  1850000.00000        2.48085        2.18069       -0.00010      272.67679       -7.00011      233.56108        8.38965        7.50032       15.88997       15.89027        7.50000       14.88530        4.88530
  1900000.00000        2.48082        2.18067       -0.00008      272.67042       -7.00009      233.56033        8.38958        7.50026       15.88984       15.89008        7.50000       14.88519        4.88520
  1950000.00000        2.48081        2.18065       -0.00006      272.66527       -7.00007      233.55972        8.38952        7.50021       15.88974       15.88993        7.50000       14.88511        4.88511
