           year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
    21000.00000        2.79683        2.50420       -1.46949      383.71348       -8.49982      239.62552        9.46776        8.46415       17.93191       17.40638        7.50000       16.36484        6.38711
    21500.00000        2.79723        2.50411       -1.46578      382.83254       -8.49593      239.96817        9.46006        8.45727       17.91732       17.49204        7.50000       16.35483        6.37577
    22000.00000        2.79754        2.50399       -1.46207      382.00329       -8.49205      240.28343        9.45280        8.45078       17.90358       17.57086        7.50000       16.34539        6.36511
    22500.00000        2.79777        2.50382       -1.45836      381.22162       -8.48817      240.57334        9.44595        8.44466       17.89061       17.64334        7.50000       16.33647        6.35506
    23000.00000        2.79794        2.50361       -1.45464      380.48378       -8.48431      240.83980        9.43948        8.43887       17.87835       17.70995        7.50000       16.32804        6.34558
    23500.00000        2.79805        2.50338       -1.45093      379.78633       -8.48045      241.08456        9.43335        8.43339       17.86674       17.77114        7.50000       16.32006        6.33663
    24000.00000        2.79810        2.50310       -1.44721      379.12608       -8.47659      241.30924        9.42755        8.42820       17.85575       17.82731        7.50000       16.31249        6.32817
    24500.00000        2.79809        2.50280       -1.44350      378.50015       -8.47275      241.51536        9.42204        8.42328       17.84531       17.87884        7.50000       16.30530        6.32016
    25000.00000        2.79804        2.50247       -1.43979      377.90586       -8.46891      241.70430        9.41680        8.41860       17.83540       17.92607        7.50000       16.29847        6.31256
    30000.00000        2.79550        2.49810       -1.40291      373.24937       -8.43103      242.89106        9.37561        8.38178       17.75739       18.22277        7.50000       16.24458        6.25359
    35000.00000        2.79084        2.49261       -1.36663      369.98595       -8.39406      243.31747        9.34658        8.35582       17.70241       18.32937        7.50000       16.20647        6.21314
    40000.00000        2.78530        2.48668       -1.33112      367.37173       -8.35799      243.40029        9.32323        8.33494       17.65818       18.35007        7.50000       16.17573        6.18130
    45000.00000        2.77942        2.48063       -1.29643      365.07493       -8.32281      243.32934        9.30263        8.31653       17.61917       18.33233        7.50000       16.14856        6.15358
    50000.00000        2.77347        2.47458       -1.26259      362.94627       -8.28851      243.19079        9.28347        8.29940       17.58288       18.29770        7.50000       16.12323        6.12797
    55000.00000        2.76754        2.46860       -1.22957      360.91809       -8.25506      243.02366        9.26515        8.28302       17.54817       18.25591        7.50000       16.09897        6.10354
    60000.00000        2.76168        2.46271       -1.19738      358.95936       -8.22244      242.84557        9.24739        8.26714       17.51453       18.21139        7.50000       16.07541        6.07986
    65000.00000        2.75593        2.45694       -1.16599      357.05555       -8.19063      242.66448        9.23007        8.25165       17.48172       18.16612        7.50000       16.05239        6.05674
    70000.00000        2.75028        2.45127       -1.13539      355.19955       -8.15962      242.48396        9.21312        8.23650       17.44962       18.12099        7.50000       16.02983        6.03409
    75000.00000        2.74474        2.44571       -1.10557      353.38763       -8.12939      242.30557        9.19651        8.22166       17.41817       18.07639        7.50000       16.00769        6.01188
    80000.00000        2.73931        2.44027       -1.07649      351.61757       -8.09991      242.13001        9.18023        8.20711       17.38734       18.03250        7.50000       15.98596        5.99006
    85000.00000        2.73399        2.43493       -1.04816      349.88786       -8.07118      241.95755        9.16427        8.19284       17.35711       17.98939        7.50000       15.96461        5.96864
    90000.00000        2.72877        2.42970       -1.02054      348.19731       -8.04318      241.78828        9.14862        8.17885       17.32747       17.94707        7.50000       15.94364        5.94760
    95000.00000        2.72366        2.42458       -0.99362      346.54489       -8.01588      241.62221        9.13328        8.16513       17.29840       17.90555        7.50000       15.92305        5.92694
   100000.00000        2.71865        2.41955       -0.96739      344.92966       -7.98927      241.45932        9.11823        8.15167       17.26990       17.86483        7.50000       15.90283        5.90665
   150000.00000        2.67380        2.37457       -0.73939      330.63857       -7.75777      239.99448        8.98295        8.03073       17.01368       17.49862        7.50000       15.71965        5.72283
   200000.00000        2.63729        2.33791       -0.56407      319.22932       -7.57945      238.79320        8.87208        7.93162       16.80370       17.19830        7.50000       15.56764        5.57027
   250000.00000        2.60759        2.30810       -0.42974      310.10284       -7.44257      237.81081        8.78145        7.85059       16.63204       16.95270        7.50000       15.44207        5.44424
   300000.00000        2.58347        2.28387       -0.32712      302.79034       -7.33777      237.00924        8.70752        7.78450       16.49201       16.75231        7.50000       15.33877        5.34055
   350000.00000        2.56390        2.26421       -0.24889      296.92288       -7.25770      236.35641        8.64732        7.73068       16.37800       16.58910        7.50000       15.25406        5.25552
   400000.00000        2.54803        2.24826       -0.18934      292.20919       -7.19661      235.82552        8.59837        7.68692       16.28529       16.45638        7.50000       15.18479        5.18598
   450000.00000        2.53518        2.23534       -0.14407      288.41849       -7.15005      235.39432        8.55862        7.65138       16.21000       16.34858        7.50000       15.12826        5.12923
