year,P,g,e,f,E,F,ef,G
2e3,6.046028325,8.174619999999999,7.5242301269792025,68.57433701068454,371.87742990557615,25501.2482050122,515.9690924734176,49.423984066111494
2001,6.121838537,8.2285,7.467255355333943,68.65682375834079,376.15214906980157,25825.4118050065,512.678034889689,50.373548401704504
2002,6.197859288,8.30383,7.473705558653082,68.72778068322499,384.6415052593742,26435.5570151318,513.6511965261085,51.46596989147304
2003,6.273812755,8.4427,7.53285904187313,69.46929297725876,398.99986716638887,27718.2386700692,523.3023917362772,52.9679189466385
2004,6.350018003,8.71336,7.571161236781069,69.56939780977949,418.912297223127,29143.4762529243,526.7211279636043,55.329992866620074
2005,6.426502234,8.93822,7.543648479848031,69.87767061784464,433.3184147384127,30279.281457737397,527.1325837316251,57.44149079798348
2006,6.50382724,9.21907,7.434730631614913,69.96122068071976,445.78078781915474,31187.368071841003,520.142830420118,59.9592385934668
2007,6.581657298,9.50127,7.34874733922708,70.30163492724431,459.5473232950555,32306.9281540813,516.6289526149001,62.53410303576845
2008,6.659821761,9.56251,7.3108872942424705,70.01241549954075,465.5910220824008,32597.152090888896,511.85287891481704,63.684612187780104
2009,6.738024147,9.291469999999999,7.319289185015691,69.84151880057506,458.23251090966664,32003.6545257322,511.19027322211906,62.60614922112608
2010,6.815097686,9.58417,7.3577400920540175,69.64583698150349,480.58591271761105,33470.8081327378,512.4359670034665,65.31705478923062
2011,6.891767697,9.7706,7.312402099902242,69.88957400180703,492.3930664084564,34413.14165273049,511.06066769208684,67.3367054603082
2012,6.969049725,9.89907,7.239735038923925,69.7142257766049,499.44840518430954,34818.6588827842,504.71252306634,68.98711106125575
2013,7.046759089,10.04064,7.182921234065168,69.48128889309793,508.2202019787817,35311.7946749963,499.0786253604493,70.75397117937696
