k,i
625.735162,63.839157
627.125685,60.454788
628.516208,57.590042
629.906731,55.678558
631.297254,53.457581
632.687777,51.540848
634.078300,49.898758
635.468823,48.584030
636.859346,47.642456
638.249869,47.244019
639.640392,46.189575
641.030915,45.730057
642.421438,45.970016
643.811961,45.523636
645.202484,45.374283
646.593007,47.237930
647.983530,50.095749
649.374053,49.705475
650.764575,47.114822
652.155098,45.909164
653.545621,45.590408
654.936144,45.543076
656.326667,45.692474
657.717190,46.094986
659.107713,45.816132
660.498236,45.737396
661.888759,47.159775
663.279282,47.410568
664.669805,46.493378
666.060328,51.176453
667.450851,60.769379
668.841374,58.283295
670.231897,48.889130
671.622420,45.381287
673.012943,45.592316
674.403466,45.529785
675.793989,44.755096
677.184512,44.723541
678.575035,44.713257
679.965558,44.596069
681.356081,43.827805
682.746603,43.234268
684.137126,43.058197
685.527649,42.778259
686.918172,42.429657
688.308695,41.859604
689.699218,41.282471
691.089741,40.908386
692.480264,40.688049
693.870787,41.392899
695.261310,42.150696
696.651833,42.114059
698.042356,42.175705
699.432879,42.712662
700.823402,43.100281
702.213925,44.636414
703.604448,47.659286
704.994971,50.533066
706.385494,52.493790
707.776017,53.714722
709.166540,55.518967
710.557063,58.117966
711.947586,61.707901
713.338109,64.783600
714.728631,66.587036
716.119154,66.580856
717.509677,60.975388
718.900200,51.793060
720.290723,54.689301
721.681246,68.649902
723.071769,77.282532
724.462292,78.861786
725.852815,78.142090
727.243338,75.654770
728.633861,72.498718
730.024384,71.340607
731.414907,72.588486
732.805430,74.458832
734.195953,75.463089
735.586476,75.144958
736.976999,75.332611
738.367522,75.635132
739.758045,71.822815
741.148568,70.353104
742.539091,77.397461
743.929614,82.801453
745.320137,85.619370
746.710660,87.766953
748.101182,88.862366
749.491705,90.330368
750.882228,92.111893
752.272751,92.709763
753.663274,92.608353
755.053797,94.537994
756.444320,96.469955
757.834843,98.520569
759.225366,100.311752
760.615889,101.255905
762.006412,101.633118
763.396935,101.681198
764.787458,101.841064
766.177981,101.973221
767.568504,101.966904
768.959027,102.774323
770.349550,103.216248
771.740073,103.622681
773.130596,103.867981
774.521119,102.717392
775.911642,101.635132
777.302165,101.047455
778.692688,100.962418
780.083210,100.951309
781.473733,100.431015
782.864256,99.733139
784.254779,99.221298
785.645302,100.023376
787.035825,101.232147
788.426348,101.370560
789.816871,99.411499
791.207394,96.681641
792.597917,97.645569
793.988440,99.523209
795.378963,99.008148
796.769486,98.247086
798.160009,97.379028
799.550532,97.599762
800.941055,97.925461
802.331578,97.826965
803.722101,98.857483
805.112624,99.582779
806.503147,99.724182
807.893670,100.147034
809.284193,100.523148
810.674716,101.034393
812.065238,101.021851
813.455761,100.488312
814.846284,100.332489
816.236807,100.601273
817.627330,100.616745
819.017853,99.871658
820.408376,99.498169
821.798899,99.948776
823.189422,100.515900
824.579945,99.941940
825.970468,98.803833
827.360991,98.174942
828.751514,97.900024
830.142037,97.215012
831.532560,97.091751
832.923083,98.119553
834.313606,98.010773
835.704129,97.087585
837.094652,96.501556
838.485175,96.383286
839.875698,96.454453
841.266221,96.552185
842.656744,96.199493
