"k","i"
1382.18,19.3908
1383.57,17.9559
1384.96,15.654
1386.35,13.601
1387.74,14.2333
1389.13,14.6367
1390.52,14.2117
1391.91,13.5202
1393.3,12.1225
1394.69,8.41612
1396.08,8.98108
1397.48,9.53017
1398.87,11.5271
1400.26,13.8406
1401.65,15.5785
1403.04,14.6496
1404.43,13.7438
1405.82,15.3327
1407.21,17.3509
1408.6,17.7701
1409.99,15.3574
1411.38,15.3308
1412.77,16.8323
1414.16,15.0111
1415.55,12.2811
1416.94,13.0793
1418.33,6.71248
1419.72,7.73844
1421.11,9.33827
1422.5,10.4577
1423.9,11.8139
1425.29,13.6565
1426.68,13.6466
1428.07,11.4407
1429.46,8.63013
1430.85,10.8583
1432.24,11.0411
1433.63,8.48014
1435.02,5.81934
1436.41,6.49916
1437.8,10.181
1439.19,13.5747
1440.58,14.3269
1441.97,13.7695
1443.36,12.598
1444.75,10.3
1446.14,6.28627
1447.53,5.91738
1448.92,12.3707
1450.32,12.1859
1451.71,10.826
1453.1,10.1231
1454.49,5.75886
1455.88,3.7332
1457.27,4.64627
1458.66,6.98823
1460.05,9.41464
1461.44,9.96767
1462.83,9.6526
1464.22,7.88243
1465.61,6.89562
1467,10.5044
1468.39,11.8317
1469.78,6.00434
1471.17,3.71132
1472.56,3.83133
1473.95,5.13609
1475.34,6.2456
1476.74,8.48098
1478.13,10.6375
1479.52,9.33774
1480.91,7.70784
1482.3,9.01926
1483.69,9.17
1485.08,6.29061
1486.47,4.41362
1487.86,2.3137
1489.25,2.8982
1490.64,4.9962
1492.03,6.31686
1493.42,6.27201
1494.81,5.72945
1496.2,4.13137
1497.59,3.44618
1498.98,4.914
1500.37,6.12482
1501.76,5.91448
1503.16,5.09823
1504.55,3.84286
1505.94,1.57233
1507.33,-0.0381549
1508.72,1.3321
1510.11,1.99839
1511.5,1.99357
1512.89,4.04684
1514.28,5.23882
1515.67,3.96039
1517.06,1.92478
1518.45,1.54423
1519.84,2.91338
1521.23,3.45081
1522.62,3.14883
1524.01,2.57833
1525.4,3.67267
1526.79,3.47035
1528.18,2.23457
1529.58,1.41349
1530.97,1.20405
1532.36,1.52311
1533.75,2.76117
1535.14,3.47068
1536.53,1.89585
1537.92,-0.620444
1539.31,-1.52413
1540.7,-0.473069
1542.09,0.180245
1543.48,1.07331
1544.87,2.90223
1546.26,4.49236
1547.65,3.77853
1549.04,2.69855
1550.43,3.02202
1551.82,2.89898
1553.21,1.16037
1554.6,0.571162
1555.99,0.684854
1557.39,0.04704
1558.78,0.670859
1560.17,3.12843
1561.56,5.16133
1562.95,7.5068
1564.34,7.78862
1565.73,4.58252
1567.12,3.30772
1568.51,3.35641
1569.9,4.2907
1571.29,4.76077
1572.68,4.50628
1574.07,2.75626
1575.46,1.01424
1576.85,0.942078
1578.24,2.49195
1579.63,7.73607
1581.02,7.366
1582.41,7.22678
1583.81,7.72881
1585.2,8.2029
1586.59,7.54603
1587.98,8.29162
1589.37,7.52134
1590.76,6.91645
1592.15,8.28484
1593.54,6.31433
1594.93,3.6968
1596.32,3.95289
1597.71,3.3308
