ASCII data file created by Hadley Centre routine mkascii_file.pro on Thu Feb 21 16:09:26 2013
TITLE:
global_mean anomaly series

FILE FORMAT:
Variable      Format    Description

Mon           A3        Month  
Yr            I6        Year
XXXhPa        F8.1      Anomaly at XXXhPa

NOTES:
Anomalies are given in units of Kelvin
Missing data are shown as -999.0


Mon   Yr   850hPa  700hPa  500hPa  300hPa  200hPa  150hPa  100hPa   50hPa   30hPa

Jan  1958     0.0     0.1     0.2    -0.2    -0.5    -0.0     1.1     1.7     2.5
Feb  1958     0.2     0.3     0.2     0.0    -0.6    -0.0     0.8     0.7     1.0
Mar  1958    -0.0     0.1     0.0     0.2     0.1     0.3     1.0     0.7     0.9
Apr  1958    -0.1     0.1     0.1     0.2     0.1     0.0     0.6     1.1     1.7
May  1958     0.1     0.0     0.1     0.1    -0.1    -0.1     0.8     1.0     1.2
Jun  1958    -0.1    -0.0     0.2     0.1     0.1     0.3     0.5     0.4     0.4
Jul  1958    -0.0     0.1     0.1     0.2     0.4     0.2     0.4     0.6     0.7
Aug  1958    -0.2    -0.0    -0.0    -0.2    -0.2     0.1     0.5     1.0     0.7
Sep  1958    -0.4    -0.0     0.0     0.0    -0.2     0.2     0.4     0.8     0.8
Oct  1958     0.2     0.3     0.5     0.3    -0.2    -0.0     0.6     1.3     1.0
Nov  1958    -0.1     0.0     0.3     0.1    -0.4    -0.0     0.8     1.1     1.6
Dec  1958    -0.1    -0.1    -0.1    -0.6    -0.6     0.1     1.0     1.3     1.2
Jan  1959     0.1     0.1     0.3     0.0     0.0     0.3     0.2     0.5     0.9
Feb  1959    -0.2    -0.1    -0.1    -0.3    -0.3     0.3     0.6     1.0     1.7
Mar  1959     0.1     0.3     0.3     0.0    -0.0     0.2     0.6     2.0     1.6
Apr  1959    -0.0     0.1     0.1     0.2     0.4     0.1     0.2     1.1     0.4
May  1959    -0.2    -0.1    -0.2    -0.1     0.1     0.3     0.8     0.9     0.2
Jun  1959    -0.0    -0.1    -0.0    -0.0    -0.1     0.3     0.5     0.8     0.6
Jul  1959    -0.1    -0.1     0.2     0.2     0.0     0.1     0.5     0.7     1.4
Aug  1959    -0.1    -0.1     0.2     0.3     0.3     0.3     0.7     1.3     2.0
Sep  1959    -0.2    -0.1     0.0     0.2    -0.3    -0.3     0.1     1.7     2.3
Oct  1959    -0.1    -0.0    -0.0    -0.0    -0.2    -0.2     0.3     1.5     2.1
Nov  1959    -0.1     0.1     0.2     0.1    -0.7    -0.5     0.2     1.1     1.8
Dec  1959     0.1     0.1     0.3     0.3     0.1     0.1     0.7     1.1     1.8
Jan  1960     0.0     0.1     0.2     0.1    -0.0     0.2     0.7    -0.2     0.2
Feb  1960     0.1     0.0     0.1     0.2     0.2     0.1     0.3     0.6     1.0
Mar  1960    -0.5    -0.4    -0.3    -0.4    -0.2     0.0     0.2     1.0     1.3
Apr  1960    -0.1    -0.1     0.0    -0.1    -0.1     0.1     0.2     0.4     0.6
May  1960    -0.0     0.1     0.2     0.1     0.0     0.0     0.1     0.8     0.4
Jun  1960    -0.1    -0.2    -0.2    -0.2     0.2     0.3     0.4     0.5     0.7
Jul  1960    -0.2    -0.2    -0.1    -0.3    -0.0     0.2     0.4     0.7     0.8
Aug  1960    -0.1     0.0     0.2     0.1     0.1     0.4     0.3     1.1     0.8
Sep  1960    -0.1    -0.0     0.0     0.0     0.1     0.2     0.5     1.3     1.5
Oct  1960     0.1     0.1     0.2     0.0     0.1     0.2     0.5     1.3     1.3
Nov  1960    -0.3    -0.2    -0.2    -0.0     0.3     0.3     0.8     0.9     0.6
Dec  1960    -0.2    -0.1    -0.1    -0.1    -0.0     0.6     0.9     0.9     0.5
Jan  1961    -0.2    -0.1    -0.1     0.1     0.2     0.5     0.4     0.4     0.3
Feb  1961    -0.1    -0.2    -0.2    -0.6    -0.4     0.1     0.5     0.4     0.5
Mar  1961    -0.1    -0.1     0.0    -0.0     0.3     0.6     0.9     0.5     0.5
Apr  1961    -0.0     0.0     0.2     0.3     0.4     0.5     0.4    -0.1    -0.1
May  1961     0.0     0.2     0.2     0.4     0.8     0.8     0.1     0.5     0.4
Jun  1961    -0.2    -0.1    -0.1    -0.1     0.4     0.4     0.5     0.8     0.8
Jul  1961    -0.3    -0.2    -0.1    -0.2     0.1    -0.1     0.4     0.7     1.0
Aug  1961    -0.1    -0.1     0.1     0.1    -0.2    -0.1     0.2     1.0     1.1
Sep  1961    -0.1    -0.1     0.1     0.2    -0.1    -0.2     0.3     1.5     1.4
Oct  1961     0.1     0.3     0.3     0.3    -0.1    -0.6     0.1     1.7     1.6
Nov  1961    -0.1    -0.1    -0.1    -0.2    -0.5    -0.6     0.4     1.2     1.4
Dec  1961    -0.1    -0.2    -0.2    -0.2    -0.5    -0.5     0.2     0.4     0.7
Jan  1962    -0.3    -0.2     0.0     0.1    -0.6    -0.4     0.1     0.6     0.9
Feb  1962     0.1     0.1     0.1     0.0    -0.2     0.2     0.1     1.0     1.8
Mar  1962    -0.2    -0.3    -0.2    -0.5    -0.6    -0.1     0.3     0.4     0.7
Apr  1962    -0.3    -0.2    -0.1    -0.2    -0.3    -0.1    -0.1     0.9     1.1
May  1962    -0.1    -0.2    -0.1    -0.1    -0.3    -0.1     0.0     0.6     0.8
Jun  1962    -0.2    -0.2    -0.4    -0.5    -0.4    -0.3     0.2     0.6     0.8
Jul  1962    -0.2    -0.1    -0.0    -0.1    -0.2    -0.0    -0.2     0.3    -0.0
Aug  1962    -0.3    -0.2    -0.3    -0.4    -0.1    -0.0     0.1    -0.0     0.6
Sep  1962    -0.0    -0.0     0.1     0.2     0.4     0.2     0.2     0.3     0.6
Oct  1962    -0.0     0.1     0.0     0.1     0.2     0.3     0.3     0.5     0.8
Nov  1962    -0.1    -0.1    -0.2    -0.3    -0.0     0.2     0.4     0.4     0.5
Dec  1962    -0.2    -0.4    -0.2    -0.3    -0.4    -0.1     0.3     1.0     1.2
Jan  1963    -0.4    -0.4    -0.2    -0.0    -0.4    -0.3     0.3     0.8     1.9
Feb  1963     0.0    -0.2    -0.3    -0.2    -0.4    -0.4    -0.0     0.7     0.5
Mar  1963    -0.3    -0.3    -0.2    -0.1     0.2    -0.1    -0.1     0.2    -0.0
Apr  1963    -0.5    -0.4    -0.2    -0.3    -0.0     0.0     0.3     0.4     0.2
May  1963    -0.2    -0.2    -0.2    -0.1     0.3     0.7     0.7     1.1     1.0
Jun  1963    -0.3    -0.3    -0.4    -0.2     0.5     0.8     1.3     1.7     1.6
Jul  1963    -0.1    -0.0    -0.2    -0.2     0.2     0.3     1.2     2.0     1.2
Aug  1963    -0.1     0.0     0.1    -0.1     0.2     0.4     0.8     2.1     1.2
Sep  1963     0.1     0.2     0.2     0.2     0.4     0.6     0.9     1.6     1.0
Oct  1963    -0.1    -0.1    -0.0    -0.1     0.3     0.3     0.7     1.4     1.3
Nov  1963    -0.4    -0.4    -0.4    -0.5     0.2     0.4     1.2     1.5     1.2
Dec  1963    -0.4    -0.3    -0.1    -0.1     0.2     0.5     1.2     1.5     1.0
Jan  1964    -0.3    -0.3    -0.3    -0.3     0.2     0.7     1.2     1.9     2.2
Feb  1964    -0.4    -0.1    -0.2    -0.1    -0.0     0.4     1.1     2.6     2.1
Mar  1964    -0.3    -0.1    -0.1     0.1     0.0     0.2     0.8     2.1     1.8
Apr  1964    -0.3    -0.2    -0.1     0.2     0.3     0.3     0.8     1.5     1.0
May  1964    -0.3    -0.3    -0.1     0.2     0.1    -0.1     0.5     1.6     1.3
Jun  1964    -0.3    -0.4    -0.5    -0.6    -0.4    -0.3     0.5     1.7     1.0
Jul  1964    -0.1    -0.2    -0.3    -0.2     0.3     0.0     1.1     1.5     0.8
Aug  1964    -0.3    -0.3    -0.3    -0.1    -0.0    -0.1     0.7     0.9     0.7
Sep  1964    -0.3    -0.2    -0.1     0.3     0.3     0.1     0.7     0.6     0.7
Oct  1964    -0.4    -0.4    -0.3    -0.2     0.2     0.1     0.3     0.5     0.3
Nov  1964    -0.4    -0.5    -0.6    -0.4     0.0    -0.1    -0.2     0.1     0.2
Dec  1964    -0.6    -0.7    -0.8    -0.9    -0.6    -0.4     0.2     0.7     1.4
Jan  1965    -0.4    -0.5    -0.7    -0.8    -0.7    -0.5     0.2     1.3     1.1
Feb  1965    -0.4    -0.7    -1.0    -0.7    -0.3    -0.2     0.3     1.0     1.3
Mar  1965    -0.4    -0.5    -0.6    -0.6    -0.4    -0.4     0.3     1.0     0.5
Apr  1965    -0.6    -0.7    -0.8    -0.9    -0.7    -0.6     0.4     0.8     0.4
May  1965    -0.4    -0.5    -0.5    -0.5    -0.2    -0.2     0.0     1.0     0.8
Jun  1965    -0.3    -0.4    -0.4    -0.5    -0.5    -0.5     0.2     0.6     0.5
Jul  1965    -0.6    -0.5    -0.6    -0.5    -0.2    -0.0     0.5     0.8     0.7
