Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
192606,-0.14
192607,-0.24
192608,-0.06
192609,-0.07
192610,0.08
192611,0.08
192612,-0.36
192701,-0.30
192702,-0.22
192703,-0.38
192704,-0.30
192705,-0.26
192706,-0.12
192707,0.08
192708,-0.08
192709,0.25
192710,0.41
192711,0.11
192712,-0.72
192801,0.11
192802,-0.02
192803,-0.46
192804,-0.35
192805,-0.08
192806,-0.29
192807,-0.09
192808,-0.10
192809,-0.08
192810,0.09
192811,0.29
192812,0.06
192901,-0.97
192902,-1.19
192903,-0.11
192904,-0.30
192905,-0.25
192906,-0.24
192907,-0.31
192908,-0.10
192909,-0.17
192910,0.10
192911,0.11
192912,-1.27
193001,-0.57
193002,-0.20
193003,0.29
193004,-0.26
193005,-0.26
193006,-0.08
193007,0.09
193008,0.03
193009,-0.27
193010,-0.06
193011,0.37
193012,0.04
193101,-0.09
193102,-0.67
193103,0.01
193104,-0.31
193105,-0.29
193106,0.10
193107,0.19
193108,0.13
193109,0.22
193110,0.38
193111,-0.01
193112,0.08
193201,0.91
193202,-0.37
193203,-0.40
193204,0.30
193205,-0.12
193206,-0.08
193207,0.13
193208,-0.10
193209,0.19
193210,0.18
193211,-0.28
193212,-0.28
193301,-0.67
193302,-0.75
193303,-0.44
193304,-0.34
193305,-0.24
193306,-0.16
193307,-0.08
193308,-0.08
193309,-0.19
193310,-0.03
193311,-0.17
193312,-0.77
193401,-0.38
193402,0.62
193403,-0.31
193404,-0.37
193405,0.29
193406,0.04
193407,-0.08
193408,-0.03
193409,-0.32
193410,0.01
193411,0.30
193412,0.16
193501,-0.58
193502,1.01
193503,0.02
193504,-0.55
193505,-0.34
193506,-0.19
193507,0.02
193508,-0.01
193509,0.01
193510,0.16
193511,-0.75
193512,-0.41
193601,-0.57
193602,-0.85
193603,-0.36
193604,-0.31
193605,-0.03
193606,-0.01
193607,0.31
193608,0.04
193609,0.01
193610,0.07
193611,0.14
193612,0.18
193701,-0.46
193702,0.20
193703,-0.56
193704,-0.32
193705,0.09
193706,0.17
193707,-0.02
193708,0.18
193709,0.25
193710,0.33
193711,0.01
193712,-0.28
193801,0.07
193802,0.05
193803,0.41
193804,0.46
193805,0.17
193806,-0.08
193807,0.10
193808,0.14
193809,0.36
193810,0.38
193811,0.37
193812,-0.39
193901,0.13
193902,0.05
193903,-0.40
193904,-0.19
193905,0.17
193906,0.12
193907,0.09
193908,0.15
193909,-0.07
193910,-0.23
193911,0.06
193912,1.18
194001,-0.57
194002,0.06
194003,0.13
194004,0.19
194005,-0.15
194006,0.14
194007,0.20
194008,-0.00
194009,0.21
194010,-0.02
194011,-0.11
194012,0.39
194101,-0.02
194102,0.25
194103,-0.07
194104,0.20
194105,0.16
194106,0.16
194107,0.24
194108,0.18
194109,-0.16
194110,0.29
194111,-0.12
194112,-0.08
194201,0.35
194202,-0.34
194203,-0.00
194204,-0.01
194205,-0.03
194206,0.16
194207,-0.09
194208,-0.11
194209,0.10
194210,0.18
194211,0.29
194212,0.12
194301,-0.43
194302,0.25
194303,-0.14
194304,0.20
194305,0.17
194306,-0.32
194307,0.05
194308,-0.12
194309,0.01
194310,0.38
194311,0.15
194312,0.63
194401,0.75
194402,0.35
194403,0.36
194404,-0.01
194405,0.09
194406,0.17
194407,0.15
194408,0.09
194409,0.42
194410,0.34
194411,-0.07
194412,-0.39
194501,-0.23
194502,-0.73
194503,-0.17
194504,0.22
194505,-0.15
194506,-0.07
194507,-0.13
194508,0.35
194509,0.13
194510,0.22
194511,-0.01
194512,-0.59
194601,0.31
194602,0.24
194603,-0.11
194604,0.39
194605,-0.08
194606,-0.26
194607,-0.05
194608,-0.06
194609,-0.08
194610,-0.05
194611,0.07
194612,-0.71
194701,-0.34
194702,-0.12
194703,0.31
194704,0.21
194705,0.03
194706,0.01
194707,-0.05
194708,-0.07
194709,0.01
194710,0.48
194711,0.17
194712,-0.16
194801,0.55
194802,-0.09
194803,-0.39
194804,-0.00
194805,0.24
194806,0.07
194807,0.01
194808,0.00
194809,0.02
194810,0.10
194811,0.07
194812,-0.21
194901,0.46
194902,-0.46
194903,-0.18
194904,0.05
194905,0.10
194906,-0.23
194907,-0.16
194908,-0.01
194909,-0.17
194910,0.03
194911,0.11
194912,-0.39
195001,-0.79
195002,-0.53
195003,-0.09
195004,-0.29
195005,-0.01
195006,-0.13
195007,-0.32
195008,-0.40
195009,-0.19
195010,-0.30
195011,-0.91
195012,-0.20
195101,-0.62
195102,-1.05
195103,-0.33
195104,-0.11
195105,0.17
195106,-0.08
195107,0.04
195108,0.08
195109,0.25
195110,0.14
195111,-0.03
195112,0.58
195201,0.29
195202,-0.01
195203,-0.41
195204,0.01
195205,0.00
195206,-0.00
195207,0.14
195208,0.00
195209,0.08
195210,-0.29
195211,-0.77
195212,-0.17
195301,0.24
195302,0.36
195303,0.43
195304,0.30
195305,0.18
195306,0.14
195307,0.01
195308,0.09
195309,0.09
195310,0.14
195311,-0.27
195312,0.25
195401,-0.71
195402,-0.29
195403,-0.29
195404,-0.32
195405,-0.42
195406,-0.11
195407,-0.12
195408,-0.00
195409,0.02
195410,0.05
195411,0.39
195412,-0.28
195501,0.62
195502,-0.10
195503,-0.76
195504,-0.44
195505,-0.09
195506,0.01
195507,-0.20
195508,0.10
195509,-0.04
195510,0.04
195511,-0.33
195512,-0.48
195601,-0.45
195602,-0.67
195603,-0.45
195604,-0.54
195605,-0.42
195606,-0.22
195607,-0.27
195608,-0.40
195609,-0.48
195610,-0.44
195611,-0.41
195612,-0.41
195701,-0.33
195702,-0.44
195703,-0.39
195704,-0.29
195705,-0.06
195706,0.12
195707,-0.22
195708,0.01
195709,0.05
195710,-0.08
195711,0.20
195712,0.63
195801,0.72
195802,0.36
195803,0.08
195804,0.12
195805,0.15
195806,-0.11
195807,-0.00
195808,-0.07
195809,-0.21
195810,-0.07
195811,0.19
195812,0.26
195901,0.20
195902,0.02
195903,0.53
195904,0.22
195905,-0.10
195906,0.19
195907,0.08
195908,0.01
195909,0.09
195910,-0.22
195911,-0.35
195912,-0.11
196001,-0.02
196002,0.64
196003,-0.79
196004,-0.27
196005,-0.45
196006,0.12
196007,-0.11
196008,-0.03
196009,0.02
196010,-0.03
196011,-0.28
196012,0.60
196101,0.28
196102,0.36
196103,0.38
196104,0.15
196105,0.21
196106,0.21
196107,-0.00
196108,0.00
196109,-0.03
196110,-0.24
196111,0.00
196112,-0.18
196201,0.37
196202,0.49
196203,0.27
196204,0.17
196205,0.03
196206,-0.10
196207,-0.01
196208,-0.04
196209,-0.01
196210,0.14
196211,0.20
196212,0.31
196301,0.16
196302,0.90
196303,-0.04
196304,-0.20
196305,-0.16
196306,-0.07
196307,0.19
196308,0.20
196309,0.31
196310,0.57
